date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-03,morning,2026-09-03T14:06:56Z,PAYX,Software - Application,emerging,125.03,122.8,3.02,124.67,124.26,126.42,123.75,0.54,failed_breakout,0.30463576158940453,,,58.21,1.95%,2.24%,1.12,-9.79%,124.67,0.96%,7.60%,3.00
2026-09-03,morning,2026-09-03T14:06:56Z,PBF,Oil & Gas Refining & Marketing,all_green,77.94,74.71,4.13,74.94,75.0,75.42,72.81,-0.71,reclaim,0.5157384987893452,prior_low,74.71,60.17,5.21%,6.04%,0.60,-3.84%,74.94,5.17%,18.48%,4.03
2026-09-03,morning,2026-09-03T14:06:56Z,PCVX,Biotechnology,leaders,62.9,60.82,2.35,60.33,61.51,61.75,60.08,-2.03,invalidated,0.10638297872340426,,,53.19,3.97%,3.84%,0.31,-7.18%,60.33,-0.11%,3.98%,2.30
2026-09-03,morning,2026-09-03T14:06:56Z,PGY,,watchlist,22.02,20.7,1.23,23.03,22.71,23.45,22.71,4.66,gapped_through,0.2601626016260165,,,61.95,5.94%,5.44%,1.03,-48.82%,23.03,6.97%,18.76%,1.24
2026-09-03,morning,2026-09-03T14:06:56Z,PRAX,Biotechnology,leaders,365.71,347.01,19.08,353.89,359.0,360.83,352.64,-1.01,setting_up,0.06551362683438156,,,50.36,4.53%,5.43%,0.37,-9.88%,353.89,-3.49%,4.51%,18.30
2026-09-03,morning,2026-09-03T14:06:56Z,PTGX,Biotechnology,leaders,149.42,144.61,5.79,145.68,146.58,146.71,144.88,-0.27,setting_up,0.13816925734024377,,,49.53,3.87%,3.64%,0.25,-9.41%,145.68,-3.37%,3.71%,5.51
2026-09-03,morning,2026-09-03T14:06:56Z,QGEN,Diagnostics & Research,leaders,44.92,43.63,1.25,43.58,44.41,44.46,43.51,-1.41,invalidated,0.05600000000000023,,,54.30,2.31%,2.63%,0.43,-24.63%,43.58,0.58%,4.25%,1.23
2026-09-03,morning,2026-09-03T14:06:56Z,RDNT,Diagnostics & Research,leaders,76.97,75.31,2.66,74.65,76.22,76.27,74.64,-1.39,invalidated,0.0037593984962425247,,,55.63,2.58%,3.81%,0.31,-13.04%,74.65,-1.48%,8.88%,2.59
2026-09-03,morning,2026-09-03T14:06:56Z,RNR,Insurance - Reinsurance,leaders,333.86,330.27,6.27,336.92,333.41,337.15,332.64,1.72,triggered,0.6826156299840558,,,65.24,1.41%,1.70%,0.38,0.28%,336.92,3.72%,4.49%,6.25
2026-09-03,morning,2026-09-03T14:06:56Z,RVMD,Biotechnology,leaders,211.91,205.22,8.4,210.18,209.16,210.72,209.0,0.45,setting_up,0.14047619047619128,,,56.14,4.34%,3.92%,0.33,-6.30%,210.18,0.21%,7.16%,7.92
2026-09-03,morning,2026-09-03T14:06:56Z,SAN,Banks - Diversified,leaders,14.76,14.65,0.28,14.91,14.92,14.94,14.9,1.12,gapped_through,0.03571428571428495,,,60.81,1.33%,1.46%,0.60,-0.57%,14.91,2.11%,5.42%,0.28
2026-09-03,morning,2026-09-03T14:06:56Z,SBRA,REIT - Healthcare Facilities,rs_new_high,21.03,20.6,0.45,20.83,20.95,20.95,20.67,-0.12,setting_up,0.35555555555554796,,,53.30,1.76%,2.02%,0.22,-8.50%,20.83,1.40%,1.32%,0.44
2026-09-03,morning,2026-09-03T14:06:56Z,SHC,Diagnostics & Research,leaders,19.03,18.72,0.46,18.83,19.19,19.21,18.79,-0.69,gapped_through,0.08695652173912857,,,51.38,1.78%,2.44%,0.23,-5.14%,18.83,-1.20%,2.89%,0.46
2026-09-03,morning,2026-09-03T14:06:56Z,SHOP,Software - Application,emerging,142.05,138.9,5.96,143.83,143.07,145.44,141.01,1.38,gapped_through,0.47315436241611103,,,50.94,3.51%,3.71%,0.63,-21.05%,143.83,-3.95%,7.79%,5.85
2026-09-03,morning,2026-09-03T14:06:56Z,SMCI,,watchlist,37.88,35.63,2.3,36.46,36.51,36.85,35.75,-1.47,setting_up,0.3086956521739134,,,54.43,5.08%,6.00%,0.88,-37.98%,36.46,-0.23%,15.66%,2.23
2026-09-03,morning,2026-09-03T14:06:56Z,SMFG,Banks - Diversified,leaders,26.72,26.3,0.51,27.5,27.15,27.58,27.18,2.94,gapped_through,0.6274509803921574,,,68.68,1.31%,1.16%,0.75,2.94%,27.50,7.00%,8.02%,0.54
2026-09-03,morning,2026-09-03T14:06:56Z,SMMT,Biotechnology,leaders,14.72,14.06,0.87,16.1,15.52,16.33,15.52,10.27,gapped_through,0.6666666666666687,,,65.12,5.28%,5.64%,3.57,-44.92%,16.10,16.01%,13.96%,0.93
2026-09-03,morning,2026-09-03T14:06:56Z,SPCX,,watchlist,143.1,138.17,7.69,147.36,141.39,148.93,141.05,4.73,triggered,0.820546163849155,,,58.71,3.18%,6.09%,1.73,-34.69%,147.36,5.19%,8.32%,7.73
2026-09-03,morning,2026-09-03T14:06:56Z,SPHR,,watchlist,142.2,134.71,7.77,138.72,140.7,142.28,138.73,-1.36,failed_breakout,-0.0012870012870001165,,,39.82,5.12%,4.70%,0.37,-23.62%,138.72,-11.26%,-9.01%,7.47
2026-09-03,morning,2026-09-03T14:06:56Z,STX,,watchlist,835.4,785.66,56.61,780.18,792.01,800.0,763.55,-3.51,invalidated,0.2937643525878819,,,41.30,4.85%,6.25%,0.85,-31.86%,780.18,-8.28%,-8.93%,55.78
2026-09-03,morning,2026-09-03T14:06:56Z,SU,Oil & Gas Integrated,all_green,69.06,68.35,1.7,68.3,68.64,69.4,67.8,-0.13,invalidated,0.29411764705882354,,,59.88,2.28%,2.52%,0.50,-2.83%,68.30,3.32%,8.55%,1.70
2026-09-03,morning,2026-09-03T14:06:56Z,SUN,Oil & Gas Refining & Marketing,all_green,76.9,75.65,1.88,75.82,76.39,76.42,75.74,-0.77,setting_up,0.0425531914893608,,,53.63,2.23%,2.49%,0.36,-2.93%,75.82,0.91%,3.47%,1.79
2026-09-03,morning,2026-09-03T14:06:56Z,TD,Banks - Diversified,leaders,121.53,119.97,2.18,122.49,121.86,122.67,121.67,0.84,gapped_through,0.37614678899082254,,,56.80,1.90%,1.71%,0.22,-2.38%,122.49,1.44%,1.46%,2.11
2026-09-03,morning,2026-09-03T14:06:56Z,TEM,Health Information Services,leaders,67.1,60.06,4.88,62.37,63.02,64.16,61.19,0.69,setting_up,0.24180327868852453,,,54.90,8.59%,7.73%,1.10,-40.21%,62.37,2.82%,12.48%,4.74
