date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-24,pre_close,2026-09-24T19:33:13Z,MTD,Diagnostics & Research,all_green,1512.88,1482.2,40.2,1531.79,1495.0,1540.83,1478.19,2.64,triggered,1.333333333333331,,,73.08,3.20%,2.70%,0.91,0.43%,1531.79,11.04%,10.68%,41.80
2026-09-24,pre_close,2026-09-24T19:33:13Z,MTSI,Semiconductors,all_green,278.63,269.63,14.42,280.9,269.21,280.96,266.69,1.83,triggered,0.9854368932038821,,,53.75,3.29%,4.08%,0.41,-32.94%,280.90,5.03%,2.71%,14.41
2026-09-24,pre_close,2026-09-24T19:33:13Z,MU,Semiconductors,all_green,1105.5,1064.25,49.84,1077.61,1049.75,1078.0,1044.0,0.53,reclaim,0.6743579454253591,prior_low,1064.25,62.74,4.21%,3.90%,0.50,-14.13%,1077.61,9.22%,15.01%,48.71
2026-09-24,pre_close,2026-09-24T19:33:13Z,MXL,Semiconductors,all_green,87.4,81.56,6.09,84.96,82.27,87.35,80.0,0.76,reclaim,0.8144499178981928,prior_low,81.56,61.75,7.09%,6.54%,0.77,-33.78%,84.96,20.76%,19.58%,6.18
2026-09-24,pre_close,2026-09-24T19:33:13Z,NBIS,Software - Infrastructure,accel,236.57,226.39,16.58,246.1,232.0,249.15,229.5,8.6,triggered,1.0012062726176114,,,59.10,7.27%,5.96%,1.11,-17.93%,246.10,11.26%,14.83%,17.01
2026-09-24,pre_close,2026-09-24T19:33:13Z,NET,Software - Infrastructure,accel,364.23,351.0,17.59,362.42,350.65,367.43,347.88,2.87,reclaim,0.8266060261512235,prior_low,351.0,67.93,6.09%,5.55%,0.72,-0.50%,362.42,14.87%,21.51%,17.73
2026-09-24,pre_close,2026-09-24T19:33:13Z,NTAP,Software - Infrastructure,accel,197.89,192.48,7.89,198.7,194.0,203.5,192.97,1.21,triggered,0.7262357414448657,,,58.04,3.27%,4.37%,0.67,-4.95%,198.70,4.44%,6.45%,8.08
2026-09-24,pre_close,2026-09-24T19:33:13Z,NTNX,Software - Infrastructure,accel,70.35,68.94,2.07,68.57,68.89,69.26,67.95,-1.59,invalidated,0.2995169082125557,,,56.55,2.46%,3.12%,0.50,-12.59%,68.57,0.50%,7.03%,2.05
2026-09-24,pre_close,2026-09-24T19:33:13Z,NVDA,Semiconductors,all_green,228.95,224.02,6.15,223.68,222.12,224.63,221.09,-0.81,invalidated,0.4211382113821143,,,53.78,2.06%,2.49%,0.43,-5.44%,223.68,0.82%,3.74%,6.03
2026-09-24,pre_close,2026-09-24T19:33:13Z,NVT,Electrical Equipment & Parts,emerging,164.31,160.28,6.76,162.16,160.01,162.29,158.47,-0.42,reclaim,0.5458579881656802,prior_low,160.28,55.76,3.14%,3.69%,0.36,-12.18%,162.16,4.81%,3.56%,6.59
